"";"n";"t"
"elapsed";8;14176,856
"elapsed1";8;13886,529
"elapsed2";8;13883,187
"elapsed3";15;32440,17
"elapsed4";15;32757,06
"elapsed5";15;32802,352
"elapsed6";25;179486,256
"elapsed7";25;189413,229
"elapsed8";25;179254,391
"elapsed9";5;10927,939
"elapsed10";10;16496,221
"elapsed11";20;71559,946
